zipcode,state,city,zone
30002,GA,Avondale Estates,2
30004,GA,Alpharetta,2
30005,GA,Alpharetta,2
30008,GA,Marietta,2
30011,GA,Auburn,2
30012,GA,Conyers,2
30013,GA,Conyers,2
30014,GA,Covington,2
30016,GA,Covington,2
30017,GA,Grayson,2
30019,GA,Dacula,2
30021,GA,Clarkston,2
30022,GA,Alpharetta,2
30024,GA,Suwanee,2
30028,GA,Cumming,2
30030,GA,Decatur,2
30032,GA,Decatur,2
30033,GA,Decatur,2
30034,GA,Decatur,2
30035,GA,Decatur,2
30038,GA,Lithonia,2
30039,GA,Snellville,2
30040,GA,Cumming,2
30041,GA,Cumming,2
30043,GA,Lawrenceville,2
30044,GA,Lawrenceville,2
30045,GA,Lawrenceville,2
30047,GA,Lilburn,2
30052,GA,Loganville,2
30054,GA,Oxford,2
30058,GA,Lithonia,2
30060,GA,Marietta,2
30062,GA,Marietta,2
30064,GA,Marietta,2
30066,GA,Marietta,2
30067,GA,Marietta,2
30068,GA,Marietta,2
30071,GA,Norcross,2
30075,GA,Roswell,2
30076,GA,Roswell,2
30078,GA,Snellville,2
30079,GA,Scottdale,2
30080,GA,Smyrna,2
30082,GA,Smyrna,2
30083,GA,Stone Mountain,2
30084,GA,Tucker,2
30087,GA,Stone Mountain,2
30088,GA,Stone Mountain,2
30092,GA,Norcross,2
30093,GA,Norcross,2
30094,GA,Conyers,2
30096,GA,Duluth,2
30097,GA,Duluth,2
30101,GA,Acworth,2
30102,GA,Acworth,2
30106,GA,Austell,2
30114,GA,Canton,2
30115,GA,Canton,2
30120,GA,Cartersville,2
30122,GA,Lithia Springs,2
30126,GA,Mableton,2
30127,GA,Powder Springs,2
30132,GA,Dallas,2
30134,GA,Douglasville,2
30135,GA,Douglasville,2
30137,GA,Emerson,2
30141,GA,Hiram,2
30144,GA,Kennesaw,2
30148,GA,Marble Hill,2
30152,GA,Kennesaw,2
30157,GA,Dallas,2
30168,GA,Austell,2
30177,GA,Tate,2
30180,GA,Villa Rica,2
30188,GA,Woodstock,2
30189,GA,Woodstock,2
30213,GA,Fairburn,2
30214,GA,Fayetteville,2
30228,GA,Hampton,2
30236,GA,Jonesboro,2
30238,GA,Jonesboro,2
30252,GA,Mcdonough,2
30253,GA,Mcdonough,2
30260,GA,Morrow,2
30263,GA,Newnan,2
30265,GA,Newnan,2
30273,GA,Rex,2
30274,GA,Riverdale,2
30281,GA,Stockbridge,2
30288,GA,Conley,2
30291,GA,Union City,2
30294,GA,Ellenwood,2
30296,GA,Riverdale,2
30297,GA,Forest Park,2
30303,GA,Atlanta,2
30305,GA,Atlanta,2
30306,GA,Atlanta,2
30307,GA,Atlanta,2
30308,GA,Atlanta,2
30309,GA,Atlanta,2
30310,GA,Atlanta,2
30311,GA,Atlanta,2
30312,GA,Atlanta,2
30313,GA,Atlanta,2
30314,GA,Atlanta,2
30315,GA,Atlanta,2
30316,GA,Atlanta,2
30317,GA,Atlanta,2
30318,GA,Atlanta,2
30319,GA,Atlanta,2
30322,GA,Atlanta,2
30324,GA,Atlanta,2
30326,GA,Atlanta,2
30327,GA,Atlanta,2
30328,GA,Atlanta,2
30329,GA,Atlanta,2
30331,GA,Atlanta,2
30336,GA,Atlanta,2
30337,GA,Atlanta,2
30338,GA,Atlanta,2
30339,GA,Atlanta,2
30340,GA,Atlanta,2
30341,GA,Atlanta,2
30342,GA,Atlanta,2
30344,GA,Atlanta,2
30345,GA,Atlanta,2
30346,GA,Atlanta,2
30349,GA,Atlanta,2
30350,GA,Atlanta,2
30354,GA,Atlanta,2
30360,GA,Atlanta,2
30506,GA,Gainesville,2
30517,GA,Braselton,2
30518,GA,Buford,2
30519,GA,Buford,2
30534,GA,Dawsonville,2
30542,GA,Flowery Branch,2
30548,GA,Hoschton,2
30620,GA,Bethlehem,2
30680,GA,Winder,2
33510,FL,Brandon,4
33511,FL,Brandon,4
33523,FL,Dade City,4
33525,FL,Dade City,4
33527,FL,Dover,4
33534,FL,Gibsonton,4
33540,FL,Zephyrhills,4
33541,FL,Zephyrhills,4
33542,FL,Zephyrhills,4
33543,FL,Wesley Chapel,4
33544,FL,Wesley Chapel,4
33545,FL,Wesley Chapel,4
33547,FL,Lithia,4
33548,FL,Lutz,4
33549,FL,Lutz,4
33556,FL,Odessa,4
33558,FL,Lutz,4
33559,FL,Lutz,4
33563,FL,Plant City,4
33565,FL,Plant City,4
33566,FL,Plant City,4
