zipcode,state,city,zone
94002,CA,Belmont,4
94005,CA,Brisbane,4
94010,CA,Burlingame,4
94011,CA,Burlingame,4
94014,CA,Daly City,4
94015,CA,Daly City,4
94018,CA,El Granada,4
94019,CA,Half Moon Bay,4
94022,CA,Los Altos,4
94023,CA,Los Altos,4
94024,CA,Los Altos,4
94025,CA,Menlo Park,4
94027,CA,Atherton,4
94028,CA,Portola Valley,4
94030,CA,Millbrae,4
94037,CA,Montara,4
94038,CA,Moss Beach,4
94040,CA,Mountain View,4
94041,CA,Mountain View,4
94043,CA,Mountain View,4
94044,CA,Pacifica,4
94060,CA,Pescadero,4
94061,CA,Redwood City,4
94062,CA,Redwood City,4
94063,CA,Redwood City,4
94065,CA,Redwood City,4
94066,CA,San Bruno,4
94070,CA,San Carlos,4
94074,CA,San Gregorio,4
94080,CA,South San Francisco,4
94085,CA,Sunnyvale,4
94086,CA,Sunnyvale,4
94087,CA,Sunnyvale,4
94088,CA,Sunnyvale,4
94089,CA,Sunnyvale,4
94102,CA,San Francisco,4
94103,CA,San Francisco,4
94104,CA,San Francisco,4
94105,CA,San Francisco,4
94107,CA,San Francisco,4
94108,CA,San Francisco,4
94109,CA,San Francisco,4
94110,CA,San Francisco,4
94111,CA,San Francisco,4
94112,CA,San Francisco,4
94114,CA,San Francisco,4
94115,CA,San Francisco,4
94116,CA,San Francisco,4
94117,CA,San Francisco,4
94118,CA,San Francisco,4
94121,CA,San Francisco,4
94122,CA,San Francisco,4
94123,CA,San Francisco,4
94124,CA,San Francisco,4
94127,CA,San Francisco,4
94128,CA,San Francisco,4
94131,CA,San Francisco,4
94132,CA,San Francisco,4
94133,CA,San Francisco,4
94134,CA,San Francisco,4
94137,CA,San Francisco,4
94139,CA,San Francisco,4
94142,CA,San Francisco,4
94143,CA,San Francisco,4
94144,CA,San Francisco,4
94145,CA,San Francisco,4
94151,CA,San Francisco,4
94158,CA,San Francisco,4
94160,CA,San Francisco,4
94161,CA,San Francisco,4
94163,CA,San Francisco,4
94177,CA,San Francisco,4
94188,CA,San Francisco,4
94301,CA,Palo Alto,3
94303,CA,Palo Alto,3
94304,CA,Palo Alto,3
94305,CA,Stanford,3
94306,CA,Palo Alto,3
94401,CA,San Mateo,4
94402,CA,San Mateo,4
94403,CA,San Mateo,4
94404,CA,San Mateo,4
94497,CA,San Mateo,4
94501,CA,Alameda,4
94502,CA,Alameda,4
94503,CA,American Canyon,4
94505,CA,Discovery Bay,4
94506,CA,Danville,4
94507,CA,Alamo,4
94509,CA,Antioch,4
94510,CA,Benicia,4
94511,CA,Bethel Island,4
94512,CA,Birds Landing,4
94513,CA,Brentwood,4
94514,CA,Byron,4
94516,CA,Canyon,4
94517,CA,Clayton,4
94518,CA,Concord,4
94519,CA,Concord,4
94520,CA,Concord,4
94521,CA,Concord,4
94523,CA,Pleasant Hill,4
94525,CA,Crockett,4
94526,CA,Danville,4
94528,CA,Diablo,4
94529,CA,Concord,4
94530,CA,El Cerrito,4
94531,CA,Antioch,4
94533,CA,Fairfield,4
94534,CA,Fairfield,4
94535,CA,Travis Afb,4
94536,CA,Fremont,4
94538,CA,Fremont,4
94539,CA,Fremont,4
94540,CA,Hayward,4
94541,CA,Hayward,4
94542,CA,Hayward,4
94544,CA,Hayward,4
94545,CA,Hayward,4
94546,CA,Castro Valley,4
94547,CA,Hercules,4
94548,CA,Knightsen,4
94549,CA,Lafayette,4
94550,CA,Livermore,4
94551,CA,Livermore,4
94552,CA,Castro Valley,4
94553,CA,Martinez,4
94555,CA,Fremont,4
94556,CA,Moraga,4
94558,CA,Napa,4
94559,CA,Napa,4
94560,CA,Newark,4
94561,CA,Oakley,4
94562,CA,Oakville,4
94563,CA,Orinda,4
94564,CA,Pinole,4
94565,CA,Pittsburg,4
94566,CA,Pleasanton,4
94568,CA,Dublin,4
94569,CA,Port Costa,4
94570,CA,Moraga,4
94571,CA,Rio Vista,4
94572,CA,Rodeo,4
94573,CA,Rutherford,4
94574,CA,Saint Helena,4
94577,CA,San Leandro,4
94578,CA,San Leandro,4
94579,CA,San Leandro,4
94580,CA,San Lorenzo,4
94581,CA,Napa,4
94582,CA,San Ramon,4
94583,CA,San Ramon,4
94585,CA,Suisun City,4
94586,CA,Sunol,4
94587,CA,Union City,4
94588,CA,Pleasanton,4
94589,CA,Vallejo,4
94590,CA,Vallejo,4
94591,CA,Vallejo,4
94592,CA,Vallejo,4
94595,CA,Walnut Creek,4
94596,CA,Walnut Creek,4
94597,CA,Walnut Creek,4
94598,CA,Walnut Creek,4
94599,CA,Yountville,4
94601,CA,Oakland,4
94602,CA,Oakland,4
94603,CA,Oakland,4
94605,CA,Oakland,4
94606,CA,Oakland,4
94607,CA,Oakland,4
94608,CA,Emeryville,4
94609,CA,Oakland,4
94610,CA,Oakland,4
94611,CA,Oakland,4
94612,CA,Oakland,4
94613,CA,Oakland,4
