zipcode,state,city,zone
60004,IL,Arlington Heights,2
60005,IL,Arlington Heights,2
60007,IL,Elk Grove Village,2
60008,IL,Rolling Meadows,2
60015,IL,Deerfield,2
60016,IL,Des Plaines,2
60018,IL,Des Plaines,2
60022,IL,Glencoe,2
60025,IL,Glenview,2
60026,IL,Glenview,2
60035,IL,Highland Park,2
60037,IL,Fort Sheridan,2
60040,IL,Highwood,2
60043,IL,Kenilworth,2
60053,IL,Morton Grove,2
60056,IL,Mount Prospect,2
60062,IL,Northbrook,2
60067,IL,Palatine,2
60068,IL,Park Ridge,2
60069,IL,Lincolnshire,2
60070,IL,Prospect Heights,2
60074,IL,Palatine,2
60076,IL,Skokie,2
60077,IL,Skokie,2
60089,IL,Buffalo Grove,2
60090,IL,Wheeling,2
60091,IL,Wilmette,2
60093,IL,Winnetka,2
60101,IL,Addison,2
60103,IL,Bartlett,2
60104,IL,Bellwood,2
60106,IL,Bensenville,2
60107,IL,Streamwood,2
60108,IL,Bloomingdale,2
60120,IL,Elgin,2
60126,IL,Elmhurst,2
60130,IL,Forest Park,2
60131,IL,Franklin Park,2
60133,IL,Hanover Park,2
60134,IL,Geneva,2
60137,IL,Glen Ellyn,2
60139,IL,Glendale Heights,2
60143,IL,Itasca,2
60148,IL,Lombard,2
60153,IL,Maywood,2
60154,IL,Westchester,2
60155,IL,Broadview,2
60157,IL,Medinah,2
60160,IL,Melrose Park,2
60162,IL,Hillside,2
60163,IL,Berkeley,2
60164,IL,Melrose Park,2
60165,IL,Stone Park,2
60169,IL,Hoffman Estates,2
60171,IL,River Grove,2
60172,IL,Roselle,2
60173,IL,Schaumburg,2
60174,IL,Saint Charles,2
60176,IL,Schiller Park,2
60181,IL,Villa Park,2
60184,IL,Wayne,2
60185,IL,West Chicago,2
60187,IL,Wheaton,2
60188,IL,Carol Stream,2
60189,IL,Wheaton,2
60190,IL,Winfield,2
60191,IL,Wood Dale,2
60192,IL,Hoffman Estates,2
60193,IL,Schaumburg,2
60194,IL,Schaumburg,2
60195,IL,Schaumburg,2
60199,IL,Carol Stream,2
60201,IL,Evanston,2
60202,IL,Evanston,2
60203,IL,Evanston,2
60301,IL,Oak Park,2
60302,IL,Oak Park,2
60304,IL,Oak Park,2
60305,IL,River Forest,2
60402,IL,Berwyn,2
60403,IL,Crest Hill,2
60406,IL,Blue Island,2
60409,IL,Calumet City,2
60415,IL,Chicago Ridge,2
60418,IL,Crestwood,2
60419,IL,Dolton,2
60422,IL,Flossmoor,2
60425,IL,Glenwood,2
60426,IL,Harvey,2
60428,IL,Markham,2
60429,IL,Hazel Crest,2
60430,IL,Homewood,2
60432,IL,Joliet,2
60435,IL,Joliet,2
60438,IL,Lansing,2
60439,IL,Lemont,2
60440,IL,Bolingbrook,2
60441,IL,Lockport,2
60443,IL,Matteson,2
60445,IL,Midlothian,2
60446,IL,Romeoville,2
60448,IL,Mokena,2
60452,IL,Oak Forest,2
60453,IL,Oak Lawn,2
60455,IL,Bridgeview,2
60456,IL,Hometown,2
60457,IL,Hickory Hills,2
60458,IL,Justice,2
60459,IL,Burbank,2
60461,IL,Olympia Fields,2
60462,IL,Orland Park,2
60463,IL,Palos Heights,2
60464,IL,Palos Park,2
60465,IL,Palos Hills,2
60466,IL,Park Forest,2
60467,IL,Orland Park,2
60469,IL,Posen,2
60471,IL,Richton Park,2
60472,IL,Robbins,2
60473,IL,South Holland,2
60476,IL,Thornton,2
60477,IL,Tinley Park,2
60478,IL,Country Club Hills,2
60480,IL,Willow Springs,2
60482,IL,Worth,2
60487,IL,Tinley Park,2
60490,IL,Bolingbrook,2
60491,IL,Homer Glen,2
60501,IL,Summit Argo,2
60502,IL,Aurora,2
60503,IL,Aurora,2
60504,IL,Aurora,2
60505,IL,Aurora,2
60506,IL,Aurora,2
60510,IL,Batavia,2
60513,IL,Brookfield,2
60514,IL,Clarendon Hills,2
60515,IL,Downers Grove,2
60516,IL,Downers Grove,2
60517,IL,Woodridge,2
60521,IL,Hinsdale,2
60522,IL,Hinsdale,2
60523,IL,Oak Brook,2
60525,IL,La Grange,2
60526,IL,La Grange Park,2
60527,IL,Willowbrook,2
60532,IL,Lisle,2
60534,IL,Lyons,2
60538,IL,Montgomery,2
60539,IL,Mooseheart,2
60540,IL,Naperville,2
60542,IL,North Aurora,2
60544,IL,Plainfield,2
60546,IL,Riverside,2
60555,IL,Warrenville,2
60558,IL,Western Springs,2
60559,IL,Westmont,2
60561,IL,Darien,2
60563,IL,Naperville,2
60564,IL,Naperville,2
60565,IL,Naperville,2
60569,IL,Aurora,2
60585,IL,Plainfield,2
60599,IL,Fox Valley,2
60601,IL,Chicago,2
60602,IL,Chicago,2
60603,IL,Chicago,2
60604,IL,Chicago,2
60605,IL,Chicago,2
60606,IL,Chicago,2
60607,IL,Chicago,2
60608,IL,Chicago,2
60609,IL,Chicago,2
60610,IL,Chicago,2
60611,IL,Chicago,2
60612,IL,Chicago,2
60613,IL,Chicago,2
60614,IL,Chicago,2
60615,IL,Chicago,2
60616,IL,Chicago,2
60617,IL,Chicago,2
60618,IL,Chicago,2
60619,IL,Chicago,2
60620,IL,Chicago,2
60621,IL,Chicago,2
60622,IL,Chicago,2
60623,IL,Chicago,2
60624,IL,Chicago,2
60625,IL,Chicago,2
60626,IL,Chicago,2
60628,IL,Chicago,2
60629,IL,Chicago,2
60630,IL,Chicago,2
60631,IL,Chicago,2
60632,IL,Chicago,2
60633,IL,Chicago,2
60634,IL,Chicago,2
