zipcode,state,city,zone
6807,CT,Cos Cob,2
6830,CT,Greenwich,2
6831,CT,Greenwich,2
6870,CT,Old Greenwich,2
6878,CT,Riverside,2
6902,CT,Stamford,2
7001,NJ,Avenel,2
7002,NJ,Bayonne,2
7003,NJ,Bloomfield,2
7004,NJ,Fairfield,2
7006,NJ,Caldwell,2
7008,NJ,Carteret,2
7009,NJ,Cedar Grove,2
7010,NJ,Cliffside Park,2
7011,NJ,Clifton,2
7012,NJ,Clifton,2
7013,NJ,Clifton,2
7014,NJ,Clifton,2
7016,NJ,Cranford,2
7017,NJ,East Orange,2
7018,NJ,East Orange,2
7020,NJ,Edgewater,2
7021,NJ,Essex Fells,2
7022,NJ,Fairview,2
7023,NJ,Fanwood,2
7024,NJ,Fort Lee,2
7026,NJ,Garfield,2
7027,NJ,Garwood,2
7028,NJ,Glen Ridge,2
7029,NJ,Harrison,2
7030,NJ,Hoboken,2
7031,NJ,North Arlington,2
7032,NJ,Kearny,2
7033,NJ,Kenilworth,2
7034,NJ,Lake Hiawatha,2
7035,NJ,Lincoln Park,2
7036,NJ,Linden,2
7039,NJ,Livingston,2
7040,NJ,Maplewood,2
7041,NJ,Millburn,2
7042,NJ,Montclair,2
7043,NJ,Montclair,2
7044,NJ,Verona,2
7045,NJ,Montville,2
7047,NJ,North Bergen,2
7050,NJ,Orange,2
7052,NJ,West Orange,2
7054,NJ,Parsippany,2
7055,NJ,Passaic,2
7057,NJ,Wallington,2
7058,NJ,Pine Brook,2
7059,NJ,Warren,2
7060,NJ,Plainfield,2
7062,NJ,Plainfield,2
7063,NJ,Plainfield,2
7064,NJ,Port Reading,2
7065,NJ,Rahway,2
7066,NJ,Clark,2
7067,NJ,Colonia,2
7068,NJ,Roseland,2
7069,NJ,Watchung,2
7070,NJ,Rutherford,2
7071,NJ,Lyndhurst,2
7072,NJ,Carlstadt,2
7073,NJ,East Rutherford,2
7074,NJ,Moonachie,2
7075,NJ,Wood Ridge,2
7076,NJ,Scotch Plains,2
7077,NJ,Sewaren,2
7078,NJ,Short Hills,2
7079,NJ,South Orange,2
7080,NJ,South Plainfield,2
7081,NJ,Springfield,2
7082,NJ,Towaco,2
7083,NJ,Union,2
7086,NJ,Weehawken,2
7087,NJ,Union City,2
7088,NJ,Vauxhall,2
7090,NJ,Westfield,2
7092,NJ,Mountainside,2
7093,NJ,West New York,2
7094,NJ,Secaucus,2
7095,NJ,Woodbridge,2
7102,NJ,Newark,2
7103,NJ,Newark,2
7104,NJ,Newark,2
7105,NJ,Newark,2
7106,NJ,Newark,2
7107,NJ,Newark,2
7108,NJ,Newark,2
7109,NJ,Belleville,2
7110,NJ,Nutley,2
7111,NJ,Irvington,2
7112,NJ,Newark,2
7114,NJ,Newark,2
7201,NJ,Elizabeth,2
7202,NJ,Elizabeth,2
7203,NJ,Roselle,2
7204,NJ,Roselle Park,2
7205,NJ,Hillside,2
7206,NJ,Elizabethport,2
7208,NJ,Elizabeth,2
7302,NJ,Jersey City,2
7304,NJ,Jersey City,2
7305,NJ,Jersey City,2
7306,NJ,Jersey City,2
7307,NJ,Jersey City,2
7310,NJ,Jersey City,2
7311,NJ,Jersey City,2
7401,NJ,Allendale,2
7407,NJ,Elmwood Park,2
7410,NJ,Fair Lawn,2
7417,NJ,Franklin Lakes,2
7423,NJ,Ho Ho Kus,2
7424,NJ,Little Falls,2
7430,NJ,Mahwah,2
7432,NJ,Midland Park,2
7436,NJ,Oakland,2
7440,NJ,Pequannock,2
7442,NJ,Pompton Lakes,2
7444,NJ,Pompton Plains,2
7446,NJ,Ramsey,2
7450,NJ,Ridgewood,2
7452,NJ,Glen Rock,2
7458,NJ,Saddle River,2
7463,NJ,Waldwick,2
7470,NJ,Wayne,2
7481,NJ,Wyckoff,2
7501,NJ,Paterson,2
7502,NJ,Paterson,2
7503,NJ,Paterson,2
7504,NJ,Paterson,2
7505,NJ,Paterson,2
7506,NJ,Hawthorne,2
7508,NJ,Haledon,2
7512,NJ,Totowa,2
7513,NJ,Paterson,2
7514,NJ,Paterson,2
7522,NJ,Paterson,2
7524,NJ,Paterson,2
7601,NJ,Hackensack,2
7603,NJ,Bogota,2
7604,NJ,Hasbrouck Heights,2
7605,NJ,Leonia,2
7606,NJ,South Hackensack,2
7607,NJ,Maywood,2
7608,NJ,Teterboro,2
7620,NJ,Alpine,2
7621,NJ,Bergenfield,2
7624,NJ,Closter,2
7626,NJ,Cresskill,2
7627,NJ,Demarest,2
7628,NJ,Dumont,2
7630,NJ,Emerson,2
7631,NJ,Englewood,2
7632,NJ,Englewood Cliffs,2
7640,NJ,Harrington Park,2
7641,NJ,Haworth,2
7642,NJ,Hillsdale,2
7643,NJ,Little Ferry,2
7644,NJ,Lodi,2
7645,NJ,Montvale,2
7646,NJ,New Milford,2
7647,NJ,Northvale,2
7648,NJ,Norwood,2
7649,NJ,Oradell,2
7650,NJ,Palisades Park,2
7652,NJ,Paramus,2
7656,NJ,Park Ridge,2
7657,NJ,Ridgefield,2
7660,NJ,Ridgefield Park,2
7661,NJ,River Edge,2
7662,NJ,Rochelle Park,2
7663,NJ,Saddle Brook,2
7666,NJ,Teaneck,2
7670,NJ,Tenafly,2
7675,NJ,Westwood,2
7676,NJ,Township Of Washington,2
7677,NJ,Woodcliff Lake,2
7701,NJ,Red Bank,2
7702,NJ,Shrewsbury,2
7703,NJ,Fort Monmouth,2
7704,NJ,Fair Haven,2
7711,NJ,Allenhurst,2
7712,NJ,Asbury Park,2
7716,NJ,Atlantic Highlands,2
7717,NJ,Avon By The Sea,2
7718,NJ,Belford,2
7719,NJ,Belmar,2
7720,NJ,Bradley Beach,2
7721,NJ,Cliffwood,2
7722,NJ,Colts Neck,2
7723,NJ,Deal,2
7724,NJ,Eatontown,2
7726,NJ,Englishtown,2
7727,NJ,Farmingdale,2
7728,NJ,Freehold,2
7730,NJ,Hazlet,2
7731,NJ,Howell,2
7732,NJ,Highlands,2
7733,NJ,Holmdel,2
7734,NJ,Keansburg,2
7735,NJ,Keyport,2
7737,NJ,Leonardo,2
7738,NJ,Lincroft,2
7739,NJ,Little Silver,2
7740,NJ,Long Branch,2
7746,NJ,Marlboro,2
7747,NJ,Matawan,2
7748,NJ,Middletown,2
7750,NJ,Monmouth Beach,2
7751,NJ,Morganville,2
7753,NJ,Neptune,2
7755,NJ,Oakhurst,2
7756,NJ,Ocean Grove,2
7757,NJ,Oceanport,2
7758,NJ,Port Monmouth,2
7760,NJ,Rumson,2
7762,NJ,Spring Lake,2
7764,NJ,West Long Branch,2
7901,NJ,Summit,2
7920,NJ,Basking Ridge,2
7921,NJ,Bedminster,2
7922,NJ,Berkeley Heights,2
7924,NJ,Bernardsville,2
7927,NJ,Cedar Knolls,2
7928,NJ,Chatham,2
7931,NJ,Far Hills,2
7932,NJ,Florham Park,2
7933,NJ,Gillette,2
7934,NJ,Gladstone,2
7935,NJ,Green Village,2
7936,NJ,East Hanover,2
7940,NJ,Madison,2
7945,NJ,Mendham,2
7946,NJ,Millington,2
7950,NJ,Morris Plains,2
7960,NJ,Morristown,2
7974,NJ,New Providence,2
7976,NJ,New Vernon,2
7980,NJ,Stirling,2
7981,NJ,Whippany,2
8002,NJ,Cherry Hill,2
8003,NJ,Cherry Hill,2
8004,NJ,Atco,2
8007,NJ,Barrington,2
8009,NJ,Berlin,2
8010,NJ,Beverly,2
8012,NJ,Blackwood,2
8014,NJ,Bridgeport,2
8015,NJ,Browns Mills,2
8016,NJ,Burlington,2
8020,NJ,Clarksboro,2
8021,NJ,Clementon,2
8022,NJ,Columbus,2
8026,NJ,Gibbsboro,2
8027,NJ,Gibbstown,2
8028,NJ,Glassboro,2
8029,NJ,Glendora,2
8030,NJ,Gloucester City,2
8031,NJ,Bellmawr,2
8032,NJ,Grenloch,2
8033,NJ,Haddonfield,2
8034,NJ,Cherry Hill,2
8035,NJ,Haddon Heights,2
8036,NJ,Hainesport,2
8041,NJ,Jobstown,2
8043,NJ,Voorhees,2
8045,NJ,Lawnside,2
8046,NJ,Willingboro,2
8048,NJ,Lumberton,2
8049,NJ,Magnolia,2
8051,NJ,Mantua,2
8052,NJ,Maple Shade,2
8053,NJ,Marlton,2
8054,NJ,Mount Laurel,2
8055,NJ,Medford,2
8056,NJ,Mickleton,2
8057,NJ,Moorestown,2
8059,NJ,Mount Ephraim,2
8060,NJ,Mount Holly,2
8061,NJ,Mount Royal,2
8062,NJ,Mullica Hill,2
8063,NJ,National Park,2
8065,NJ,Palmyra,2
8066,NJ,Paulsboro,2
8067,NJ,Pedricktown,2
8068,NJ,Pemberton,2
8069,NJ,Penns Grove,2
8070,NJ,Pennsville,2
8071,NJ,Pitman,2
8075,NJ,Riverside,2
8077,NJ,Riverton,2
8078,NJ,Runnemede,2
8079,NJ,Salem,2
8080,NJ,Sewell,2
8081,NJ,Sicklerville,2
8083,NJ,Somerdale,2
8084,NJ,Stratford,2
8085,NJ,Swedesboro,2
8086,NJ,Thorofare,2
8088,NJ,Vincentown,2
8089,NJ,Waterford Works,2
8090,NJ,Wenonah,2
8091,NJ,West Berlin,2
8093,NJ,Westville,2
8094,NJ,Williamstown,2
8096,NJ,West Deptford,2
8097,NJ,Woodbury Heights,2
8098,NJ,Woodstown,2
8102,NJ,Camden,2
8103,NJ,Camden,2
8104,NJ,Camden,2
8105,NJ,Camden,2
8106,NJ,Audubon,2
8107,NJ,Oaklyn,2
8108,NJ,Collingswood,2
8109,NJ,Merchantville,2
8110,NJ,Pennsauken,2
8312,NJ,Clayton,2
8318,NJ,Elmer,2
8322,NJ,Franklinville,2
8328,NJ,Malaga,2
8343,NJ,Monroeville,2
8344,NJ,Newfield,2
8501,NJ,Allentown,2
8502,NJ,Belle Mead,2
8505,NJ,Bordentown,2
8510,NJ,Millstone Township,2
8511,NJ,Cookstown,2
8512,NJ,Cranbury,2
8514,NJ,Cream Ridge,2
8515,NJ,Chesterfield,2
8518,NJ,Florence,2
8520,NJ,Hightstown,2
8525,NJ,Hopewell,2
8527,NJ,Jackson,2
8528,NJ,Kingston,2
8530,NJ,Lambertville,2
8533,NJ,New Egypt,2
8534,NJ,Pennington,2
8535,NJ,Millstone Township,2
8536,NJ,Plainsboro,2
8540,NJ,Princeton,2
8542,NJ,Princeton,2
8544,NJ,Princeton,2
8550,NJ,Princeton Junction,2
8551,NJ,Ringoes,2
8553,NJ,Rocky Hill,2
8554,NJ,Roebling,2
8558,NJ,Skillman,2
8559,NJ,Stockton,2
8560,NJ,Titusville,2
8562,NJ,Wrightstown,2
8608,NJ,Trenton,2
8609,NJ,Trenton,2
8610,NJ,Trenton,2
8611,NJ,Trenton,2
8618,NJ,Trenton,2
8619,NJ,Trenton,2
8620,NJ,Trenton,2
8628,NJ,Trenton,2
8629,NJ,Trenton,2
8638,NJ,Trenton,2
8640,NJ,Fort Dix,2
8641,NJ,Trenton,2
8648,NJ,Lawrence Township,2
8690,NJ,Trenton,2
8691,NJ,Trenton,2
8701,NJ,Lakewood,2
8721,NJ,Bayville,2
8722,NJ,Beachwood,2
8723,NJ,Brick,2
8724,NJ,Brick,2
8730,NJ,Brielle,2
8731,NJ,Forked River,2
8733,NJ,Lakehurst,2
8734,NJ,Lanoka Harbor,2
8736,NJ,Manasquan,2
8741,NJ,Pine Beach,2
8742,NJ,Point Pleasant Beach,2
8750,NJ,Sea Girt,2
8753,NJ,Toms River,2
8755,NJ,Toms River,2
8757,NJ,Toms River,2
8759,NJ,Manchester Township,2
8805,NJ,Bound Brook,2
8807,NJ,Bridgewater,2
8810,NJ,Dayton,2
8812,NJ,Dunellen,2
8816,NJ,East Brunswick,2
8817,NJ,Edison,2
8820,NJ,Edison,2
8822,NJ,Flemington,2
8823,NJ,Franklin Park,2
8824,NJ,Kendall Park,2
8828,NJ,Helmetta,2
8830,NJ,Iselin,2
8831,NJ,Monroe Township,2
8832,NJ,Keasbey,2
8833,NJ,Lebanon,2
8835,NJ,Manville,2
8836,NJ,Martinsville,2
8837,NJ,Edison,2
8840,NJ,Metuchen,2
8844,NJ,Hillsborough,2
8846,NJ,Middlesex,2
8850,NJ,Milltown,2
8852,NJ,Monmouth Junction,2
8853,NJ,Neshanic Station,2
8854,NJ,Piscataway,2
8857,NJ,Old Bridge,2
8859,NJ,Parlin,2
8861,NJ,Perth Amboy,2
8863,NJ,Fords,2
8869,NJ,Raritan,2
8872,NJ,Sayreville,2
8873,NJ,Somerset,2
8876,NJ,Somerville,2
8879,NJ,South Amboy,2
8880,NJ,South Bound Brook,2
8882,NJ,South River,2
8884,NJ,Spotswood,2
8887,NJ,Three Bridges,2
8889,NJ,Whitehouse Station,2
8901,NJ,New Brunswick,2
8902,NJ,North Brunswick,2
8904,NJ,Highland Park,2
10001,NY,New York,2
10002,NY,New York,2
10003,NY,New York,2
10004,NY,New York,2
10005,NY,New York,2
10006,NY,New York,2
10007,NY,New York,2
10009,NY,New York,2
10010,NY,New York,2
10011,NY,New York,2
10012,NY,New York,2
10013,NY,New York,2
10014,NY,New York,2
10016,NY,New York,2
10017,NY,New York,2
10018,NY,New York,2
10019,NY,New York,2
10020,NY,New York,2
10021,NY,New York,2
10022,NY,New York,2
10023,NY,New York,2
10024,NY,New York,2
10025,NY,New York,2
10026,NY,New York,2
10027,NY,New York,2
10028,NY,New York,2
10029,NY,New York,2
10030,NY,New York,2
10031,NY,New York,2
10032,NY,New York,2
10033,NY,New York,2
10034,NY,New York,2
10035,NY,New York,2
10036,NY,New York,2
10037,NY,New York,2
10038,NY,New York,2
10039,NY,New York,2
10040,NY,New York,2
10065,NY,New York,2
10075,NY,New York,2
10103,NY,New York,2
10110,NY,New York,2
10111,NY,New York,2
10112,NY,New York,2
10119,NY,New York,2
10128,NY,New York,2
10152,NY,New York,2
10153,NY,New York,2
10154,NY,New York,2
10165,NY,New York,2
10167,NY,New York,2
10168,NY,New York,2
10169,NY,New York,2
10170,NY,New York,2
10171,NY,New York,2
10172,NY,New York,2
10173,NY,New York,2
10174,NY,New York,2
10177,NY,New York,2
10199,NY,New York,2
10271,NY,New York,2
10279,NY,New York,2
10280,NY,New York,2
10282,NY,New York,2
10301,NY,Staten Island,2
10302,NY,Staten Island,2
10303,NY,Staten Island,2
10304,NY,Staten Island,2
10305,NY,Staten Island,2
10306,NY,Staten Island,2
10307,NY,Staten Island,2
10308,NY,Staten Island,2
10309,NY,Staten Island,2
10310,NY,Staten Island,2
10311,NY,Staten Island,2
10312,NY,Staten Island,2
10314,NY,Staten Island,2
10451,NY,Bronx,2
10452,NY,Bronx,2
10453,NY,Bronx,2
10454,NY,Bronx,2
10455,NY,Bronx,2
10456,NY,Bronx,2
10457,NY,Bronx,2
10458,NY,Bronx,2
10459,NY,Bronx,2
10460,NY,Bronx,2
10461,NY,Bronx,2
10462,NY,Bronx,2
10463,NY,Bronx,2
10464,NY,Bronx,2
10465,NY,Bronx,2
10466,NY,Bronx,2
10467,NY,Bronx,2
10468,NY,Bronx,2
10469,NY,Bronx,2
10470,NY,Bronx,2
10471,NY,Bronx,2
10472,NY,Bronx,2
10473,NY,Bronx,2
10474,NY,Bronx,2
10475,NY,Bronx,2
10502,NY,Ardsley,2
10522,NY,Dobbs Ferry,2
10523,NY,Elmsford,2
10528,NY,Harrison,2
10530,NY,Hartsdale,2
10533,NY,Irvington,2
10538,NY,Larchmont,2
10543,NY,Mamaroneck,2
10550,NY,Mount Vernon,2
10552,NY,Mount Vernon,2
10553,NY,Mount Vernon,2
10573,NY,Port Chester,2
10577,NY,Purchase,2
10580,NY,Rye,2
10583,NY,Scarsdale,2
10601,NY,White Plains,2
10603,NY,White Plains,2
10604,NY,West Harrison,2
10605,NY,White Plains,2
10606,NY,White Plains,2
10607,NY,White Plains,2
10701,NY,Yonkers,2
10703,NY,Yonkers,2
10704,NY,Yonkers,2
10705,NY,Yonkers,2
10706,NY,Hastings On Hudson,2
10707,NY,Tuckahoe,2
